ablation_family,ablation_variant,topology,load_scale,method,method_profile,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config,prediction_mae_mean,prediction_rmse_mean,nominal_max_utilization_mean,nominal_max_utilization_std,critical_failure_reopt_max_utilization_mean,critical_failure_fixed_disrupted_fraction_mean,critical_failure_fixed_fairness_mean,random_failure_fixed_disrupted_fraction_mean,random_failure_fixed_fairness_mean,robust_worst_case_utilization_mean
uncertainty,mult_0p4,abilene,1.0,current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.4,0.4476716715414672,0.6105427049547374,1.017519964534473,0.010506594063537916,2.464366106054131,0.3182917665519885,0.687623634948411,0.16301561260321207,0.8383651238339143,
uncertainty,mult_0p4,abilene,1.0,robust_current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.4,0.4476716715414672,0.6105427049547374,1.0175199641916242,0.010506593748811058,2.6278899255698005,0.3198160340135418,0.6889717757168486,0.16570858775147335,0.8355553906706253,2.7133865717948713
uncertainty,mult_0p4,abilene,1.0,uncertainty_aware_lstm_robust_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.4,0.9232094060994059,1.0389692608891208,0.9781815704398861,0.006647319154254617,2.451971854230769,0.31898705540567,0.6924882900094342,0.1643035550251342,0.837769298464019,2.6084842
uncertainty,mult_0p4,nsfnet,1.0,current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.4,0.4495726941863883,0.5843256358323424,1.1338436930185185,0.03636754565205493,1.5956125400789174,0.25096883825822336,0.7479106698041247,0.17443351873087706,0.8270764440064621,
uncertainty,mult_0p4,nsfnet,1.0,robust_current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.4,0.4495726941863883,0.5843256358323424,1.133843692940171,0.03636754575060358,1.5956125400789174,0.23470621158194785,0.7609690814672189,0.16946460085575243,0.8314758412412151,2.1906133153846152
uncertainty,mult_0p4,nsfnet,1.0,uncertainty_aware_lstm_robust_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.4,0.9476772616854744,1.0542142335535265,1.0570503911866098,0.030798671313562356,1.4941226929373217,0.23585576997971183,0.7606076121651802,0.16958393613217668,0.8310794088780158,2.0424858666666665
uncertainty,mult_0p5,abilene,1.0,current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.5,0.4476716715414672,0.6105427049547374,1.017519964534473,0.010506594063537916,2.464366106054131,0.3182917665519885,0.687623634948411,0.16301561260321207,0.8383651238339143,
uncertainty,mult_0p5,abilene,1.0,robust_current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.5,0.4476716715414672,0.6105427049547374,1.0175199641916242,0.010506593748811058,2.6278899255698005,0.3198160340135418,0.6889717757168486,0.16570858775147335,0.8355553906706253,2.7133865717948713
uncertainty,mult_0p5,abilene,1.0,uncertainty_aware_lstm_robust_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.5,0.9232094060994059,1.0389692608891208,0.995688836477493,0.00694445684886375,2.4955614167948714,0.31921432412747947,0.6910903299769834,0.16440471464578374,0.837042661663579,2.6551702333333336
uncertainty,mult_0p5,nsfnet,1.0,current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.5,0.4495726941863883,0.5843256358323424,1.1338436930185185,0.03636754565205493,1.5956125400789174,0.25096883825822336,0.7479106698041247,0.17443351873087706,0.8270764440064621,
uncertainty,mult_0p5,nsfnet,1.0,robust_current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.5,0.4495726941863883,0.5843256358323424,1.133843692940171,0.03636754575060358,1.5956125400789174,0.23470621158194785,0.7609690814672189,0.16946460085575243,0.8314758412412151,2.1906133153846152
uncertainty,mult_0p5,nsfnet,1.0,uncertainty_aware_lstm_robust_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.5,0.9476772616854744,1.0542142335535265,1.0754695248076922,0.03133166840326202,1.5200535373931625,0.23599203873685118,0.760421703049689,0.16957354949159772,0.831085483162469,2.077726166666667
